pipeline_step,component,category,scenario,expected_behavior,verification
02,mt5-account-balance-snapshot-builder,idempotency,Kafka at-least-once redelivery — message ตัวเดิมเข้าซ้ำ,unique constraint บน (login + time_msc) ป้องกัน duplicate row,inject duplicate message 2 ครั้ง → DB row count = 1
02,mt5-account-balance-snapshot-builder,referential,Login จาก MT5 ไม่มี mapping เป็น mt5_account_id ใน crm_central (account ใหม่),DLQ + alert — รอ account sync ก่อน retry (ห้าม INSERT snapshot ลอย),ส่ง snapshot ของ Login ที่ยังไม่ sync → DLQ + metric counter เพิ่ม
02,mt5-account-balance-snapshot-builder,missing-data,Field Login / Balance / TimeMsc หาย,reject + log + DLQ,ส่ง message ที่ Login = null → DLQ + ไม่ INSERT
02,mt5-account-balance-snapshot-builder,boundary,Balance = 0 หรือ negative (margin call/หลังขาดทุนหนัก),รับได้ INSERT ตามจริง — ห้าม filter ออก,ส่ง balance = 0 และ -1000 → INSERT สำเร็จทั้งคู่
02,mt5-account-balance-snapshot-builder,schema,TimeMsc มาเป็น unix ms string บางทีก็ ISO timestamp,parse ทั้ง 2 รูปแบบ — fallback ใช้ Time field ถ้า TimeMsc parse ไม่ได้,ส่ง TimeMsc = 1745596800000 และ Time = 2026-04-25 16:00:00.000 → ทั้งคู่ parse เป็น UTC ตรงกัน
04,mt5-account-balance-snapshot-sync,idempotency,debezium re-publish snapshot.created ตัวเดิมหลัง connector restart,UPSERT ตาม snapshot_id (PK) — second time = no-op,inject duplicate → equity history row count ไม่เพิ่ม
04,mt5-account-balance-snapshot-sync,ordering,snapshot เก่ามาทีหลัง snapshot ใหม่ (delivery out-of-order),UPSERT พร้อมเช็ค time — ห้ามเอา snapshot เก่าทับค่า latest,ส่ง 2 snapshot ของ login เดียวกัน — ใหม่มาก่อน เก่ามาทีหลัง → latest_balance ยังเป็นค่าใหม่
04,mt5-account-balance-snapshot-sync,referential,trading_account_id ใน snapshot ไม่มีใน CRM แล้ว (account soft-delete),log warning + ack — ห้าม consumer ค้าง,ส่ง snapshot ของ account ที่ลบแล้ว → ack + alert metric
05,mt5-account-balance-snapshot-archived,idempotency,re-consume → ClickHouse INSERT ซ้ำ,CH table เป็น ReplacingMergeTree ตาม snapshot_id — merge เป็น 1 row,re-publish 100 messages 2 รอบ → CH row count = 100 หลัง OPTIMIZE FINAL
05,mt5-account-balance-snapshot-archived,partial-failure,batch INSERT 1000 rows fail กลางคัน,batch atomic — fail แล้ว retry ทั้งก้อน + ห้าม commit Kafka offset ก่อน CH ตอบ ok,simulate CH error 500 → consumer offset ต้องไม่ commit
05,mt5-account-balance-snapshot-archived,poison,message schema field ผิด/หาย/type mismatch,log + DLQ + alert — ห้าม consumer ติด crash loop,inject malformed → DLQ + consumer ยัง process message ถัดไปได้
05,mt5-account-balance-snapshot-archived,backpressure,producer ส่งเร็วกว่า consumer,batch size + flush interval (เช่น 5000 rows หรือ 10s) — lag ต้องไม่บวมต่อเนื่อง,เร่ง publish 100k msg/sec → consumer lag คงที่
06,mt5-account-balance-snapshot-cleanup-watcher,partial-failure,worker crash ระหว่าง publish ครึ่งทาง,re-scan ตั้งแต่ต้นรอบ (stateless) — publish เฉพาะ snapshot ที่ archive แล้วและยังมีใน balance DB,kill worker หลัง publish 50/100 events → restart รอบถัดไปครบ 100 (idempotent ที่ cleaner)
06,mt5-account-balance-snapshot-cleanup-watcher,race,row archive ใน CH แต่ batch ยังไม่ commit ตอน watcher อ่าน,เช็คด้วย archived_at <= now() - 5 นาที (lookback window) ป้องกัน race ของ archiver flush,inject snapshot ที่ archived_at = ปัจจุบัน → watcher ต้อง skip รอบนี้
06,mt5-account-balance-snapshot-cleanup-watcher,scheduling,worker ติด clock skew หรือ DST,ใช้ cron ที่ระดับ K8s/systemd — ห้ามใช้ time.Sleep ใน process,deploy หลายเครื่องเวลาต่างกัน → ยิงครั้งเดียว 00:00 UTC จริง
07,mt5-account-balance-snapshot-cleaner,idempotency,รับ clean event ตัวเดิม 2 ครั้ง,DELETE WHERE snapshot_id = X — second time = no-op (RowsAffected = 0) + log,inject duplicate → 2 ครั้งไม่ error และ delete count log = 0 ในครั้งที่ 2
07,mt5-account-balance-snapshot-cleaner,referential,snapshot_id ใน clean event ไม่มีใน balance DB (อาจถูกลบรอบก่อน),log info + ack (ไม่ใช่ error),DELETE row ก่อน → ส่ง clean event อีกที → ack สำเร็จ
07,mt5-account-balance-snapshot-cleaner,ack-policy,consumer crash หลัง DELETE แต่ก่อน commit offset,redelivery → DELETE no-op (idempotent) → safe,test crash หลัง DELETE สำเร็จ → restart → message redeliver → ไม่มี side effect
