id,category,target,requirement,target_value,verification,source,notes
NFR-D-001,throughput,steps 02 + 05 (deals-in + deals-out ingestors),sustained ingest rate ระหว่าง spike (combined),300-400k msg/sec รวม 2 ingestor,load test 400k/sec sustained 10 นาที — ทุก message INSERT สำเร็จ + Kafka lag กลับเป็น 0 ภายใน 5 นาทีหลัง spike,user-stated,—
NFR-D-002,durability,step 09 (rebate-calculator),deal-out ทุกตัวต้องคำนวณ rebate ครบ 100% ภายใต้ spike load,zero missed deals,e2e test 1M deals at peak rate → count(rebate_distributions group by deal_id) == expected count,user-stated,eventual ok แต่ต้องครบ
NFR-D-003,consistency,steps 09 → 16 (rebate flow ทั้งสาย),rebate flow เป็น eventual consistency — ไม่ต้อง realtime,p95 lag deal-out → wallet credit ≤ 30 นาที ที่ peak load,monitor end-to-end timing — relaxed SLA ระหว่าง spike เป็น 30 นาที (ปกติ 5 นาที),user-stated,—
NFR-D-004,resource,all consumers + workers,CPU + memory ต้องไม่พุ่งเกินขีด ระหว่าง spike,CPU < 80% sustained + heap < 80% ของ pod limit + zero OOMKilled events,Grafana monitoring + load test under 400k/sec,user-stated,—
NFR-D-005,read-routing,all PG reads (IB tree lookup / accruals SELECT / settlement SELECT / watcher verification SELECT),read query ทุกตัวต้องไป replica เท่านั้น — ห้าม master,0% read traffic to master,audit pg_stat_activity + connection string review + DSN แยก primary/replica,user-stated,เพิ่ม DSN แยก primary (write) / replica (read) ทุก service
NFR-D-006,durability,steps 17-23 (7 archivers),data ทั้งหมดต้องเข้า ClickHouse 100% — ห้าม drop,count(CH rows per table) == count(committed Kafka offsets) tolerance < 0.01%,daily reconciliation job + alert ถ้า diff > threshold,user-stated,—
NFR-D-007,durability,all consumers,poison messages ต้อง enter DLQ — ห้าม silent drop,DLQ topic retention ≥ 7 วัน + manual replay tool ใช้งานได้,DLQ message count metric + replay tooling test,inferred,depends on BL-008
NFR-D-008,latency,steps 17-23 (archivers),archive lag จาก kafka topic → CH row visible,p95 < 5 นาที ที่ peak load,Grafana panel monitoring per-archiver lag,inferred,เกี่ยวกับ NFR-D-006 — lag สูงไม่หมายถึง data หาย แต่ track ด้วย
NFR-D-009,latency,step 12 (settlement-scheduler),scheduler invocation cycle,รันทุก 2 นาที — accruals → SETTLED ภายใน max 5 นาที,scheduler invocation log + timing วัดจาก accrual.created → settlement.created,inferred,—
NFR-D-010,backpressure,all consumers,consumer ต้องไม่ OOM ตอน producer ส่ง burst,batch flush interval (เช่น 5000 rows / 10s) + max batch size + Kafka pause/resume เมื่อ heap > threshold,inject 500k msg/sec burst สั้นๆ → no OOMKilled + lag กลับมาปกติ,inferred,implementation ของ NFR-D-004
NFR-D-011,scalability,all Kafka consumers,horizontal scale ผ่าน consumer group partitions,scale 2x pods → throughput ≈ 1.8-2x (near-linear),Kafka topic partition count ≥ 2x peak pod count + load test scale-out,standard,depends on Kafka topic partition config
NFR-D-012,ordering,steps 02 + 05 (deal ingestors),deal เดียวกัน (mt5_account_id) ต้อง process ตามลำดับเวลา,Kafka key = mt5_account_id → partition stable,inject 100 deals same account → INSERT ลำดับเดียวกับ event time,inferred,critical สำหรับ position-detector matching ของ deal in/out คู่กัน
NFR-D-013,durability,all consumers,replay จาก offset 0 ต้องไม่มี side effect (idempotent end-to-end),reset consumer group → ไม่มี duplicate row / double credit / double rebate,test reset ของ consumer group ใน staging environment,inferred,depends on BL-013 (idempotency tests)
NFR-D-014,observability,all consumers + workers,per-component metrics + dashboards,consumer lag + throughput + error rate + heap + CPU + DLQ count per pod export ใน Prometheus,scrape endpoint return metrics + Grafana dashboard + alert rules ใน Alertmanager,inferred,depends on BL-017
NFR-D-015,latency,steps 24 → 31 (cleanup chain),cleanup cycle SLA,PG row cleaned ภายใน ~30 นาทีหลัง CH archive (15 นาที watcher + 15 นาที cleaner cycle),monitor PG table size — settles into stable bound เมื่อ ingest rate stable,standard,—
NFR-D-016,consistency,step 12 (settlement-scheduler),per-user/wallet accruals settle เป็น atomic batch,SELECT FOR UPDATE per (user_id + wallet_id) + 1 transaction (INSERT settlement + UPDATE accruals → SETTLED),test concurrent settlement ของ user เดียวกัน → 1 settlement row ต่อ batch + ทุก accruals → SETTLED,inferred,relates to BL-010 + BL-014
NFR-D-017,security,Kafka + PG + CH connections,TLS + auth + secrets ผ่าน vault,no plaintext credentials in env/code + mTLS for Kafka + Kafka ACL per consumer group,security audit + secrets scan ใน CI,standard,—
NFR-D-018,observability,paid.clean topic + cleanup chain,detect stuck cleanup chain,alert ถ้า paid.clean message age > 24 ชั่วโมง หรือ PG table size บวมเกิน threshold,Prometheus alert rules + Grafana panel,inferred,detect stuck cleanup ที่อาจเกิดจาก BL-001 ยังไม่เสร็จ
NFR-D-019,durability,Kafka producer (rebate-calculator direct publish),at-least-once delivery — ต้อง ack=all + retries + idempotent producer,acks=all + enable.idempotence=true + max.in.flight.requests.per.connection ≤ 5,Kafka producer config review + chaos test (broker down) → no message loss,inferred,depends on BL-006 (outbox pattern จะดีกว่า)
NFR-D-020,resource,Kafka cluster,topic retention + partition count ต้องรองรับ peak,paid.clean retention ≥ 7 วัน + main topics retention ≥ 3 วัน + partition count ≥ peak pod count × 2,Kafka admin tool — describe topic config,standard,relates to NFR-D-011
