service,cmd_name,cmd_path,dockerfile_path,kind,deployable,port,description
onetrust-mt5-processor,mt5-account-balance-snapshot-builder,./cmd/mt5-account-balance-snapshot-builder,deployments/Dockerfile,consumer,yes,,Kafka consumer (scaffold) ฟัง topic mt5.account.balance.incoming เพื่อสร้าง account balance snapshot — ปัจจุบันยัง log payload อย่างเดียว [scaffold]
onetrust-mt5-processor,mt5-account-balance-snapshot-sync,./cmd/mt5-account-balance-snapshot-sync,deployments/Dockerfile,consumer,yes,,Kafka consumer (scaffold) ฟัง mt5-processor.account.balance.snapshot.created เพื่อ sync snapshot ลง downstream — ยังไม่ implement [scaffold]
onetrust-mt5-processor,mt5-deals-in-ingestor,./cmd/mt5-deals-in-ingestor,deployments/Dockerfile,consumer,yes,,Kafka consumer ที่ ingest deal-in event จาก MT5 ลงตาราง mt5_deals_in (DB crm_trading_open) แล้ว produce event mt5-processor.deal.in.created ต่อ pipeline
onetrust-mt5-processor,mt5-deals-out-ingestor,./cmd/mt5-deals-out-ingestor,deployments/Dockerfile,consumer,yes,,Kafka consumer ที่ ingest deal-out event จาก MT5 ลงตาราง mt5_deals_out (DB crm_trading_closed) แล้ว produce event mt5-processor.deal.out.created
onetrust-mt5-processor,mt5-position-detector,./cmd/mt5-position-detector,deployments/Dockerfile,consumer,yes,,Kafka consumer อ่าน mt5-processor.deal.out.created แล้วตัดสินว่า position ปิดสมบูรณ์ 100% หรือยัง — ถ้าปิดแล้วจะ join deal_in (trading_in) + deal_out ทุก leg (trading_out) แล้วเขียน mt5_position_completes ลง position_complete DB
onetrust-financial-service,consumer-account-event,./cmd/consumer-account-event,deployments/Dockerfile,consumer,yes,,Kafka consumer จัดการ account event ฝั่ง financial domain — sync wallet/account ตาม event ที่มาจาก client-portal-api
onetrust-financial-service,consumer-financial-command,./cmd/consumer-financial-command,deployments/Dockerfile,consumer,yes,,Kafka consumer ของ financial command — orchestrate flow deposit / withdraw / internal transfer / liquidation / ledger ops และเขียนผ่าน outbox pattern
onetrust-financial-service,consumer-trade-event,./cmd/consumer-trade-event,deployments/Dockerfile,consumer,yes,,Kafka consumer ของ trade event — รับ deal/position event จาก trading domain เพื่อ trigger pipeline ฝั่ง financial (เขียนลง financial DB ผ่าน outbox)
onetrust-financial-service,financial-rebate-accrual-builder,./cmd/financial-rebate-accrual-builder,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง financial.rebate.calculated แล้ว INSERT แถว rebate_accruals สถานะ PENDING (1 แถวต่อ beneficiary) ลง financial DB — ไม่อ่าน main / trading_out (event payload พอ)
onetrust-financial-service,financial-rebate-calculator,./cmd/financial-rebate-calculator,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง mt5-processor.deal.out.created แล้วรัน rebate distribution pipeline ข้าม 3 DB (trading_closed = source / main = scheme/rate/cap/wallet / financial = write target rebate_distributions)
onetrust-financial-service,financial-rebate-earning-calculator,./cmd/financial-rebate-earning-calculator,deployments/Dockerfile,consumer,yes,,Kafka consumer (scaffold) ฟัง financial.wallet.transaction.created เพื่ออัพเดต rolling rebate earning total ต่อ user/wallet — ยังไม่ implement [scaffold]
onetrust-financial-service,financial-wallet-transaction-writer,./cmd/financial-wallet-transaction-writer,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง financial.rebate.settlement.created — credit wallet balance ใน accounts table + insert wallet_transactions ลง financial DB (driven by Debezium CDC ใน PROD)
onetrust-financial-service,grpc-server,./cmd/grpc-server,deployments/Dockerfile,server,yes,${GRPC_PORT},gRPC server ของ finance-service — ใช้ FinanceService proto + AuthInterceptor ด้วย API key ให้ service ภายในเรียก (port อ่านจาก config.Grpc.Port)
onetrust-financial-service,rebate-settlement-scheduler,./cmd/rebate-settlement-scheduler,deployments/Dockerfile,scheduler,yes,,Interval worker (sleep 2 นาทีระหว่างรอบ / replicas=1) — รวม rebate_accruals สถานะ PENDING ให้กลายเป็น rebate_settlements rows แล้วเปลี่ยนสถานะ accrual เป็น SETTLED (ยังไม่แตะ wallet)
onetrust-financial-service,server,./cmd/server,deployments/Dockerfile,server,yes,${SERVER_PORT},REST API (Fiber) ของ finance-service — รับคำสั่ง deposit / withdraw / account จาก service ภายในผ่าน HTTP (port อ่านจาก config.Server.Port)
