workload,kind,namespace,source_path,image,replicas,env_from,key_env,ports,description,entrypoint_service,entrypoint_cmd
aeternix-be,Deployment,crm-prd,kubeflow/prd/be/deployment.yaml,aeternix-be-image:prd-placeholder,HPA,aeternix-be-config;aeternix-be-secrets,DATABASE_HOST/USERNAME/PASSWORD/DATABASE; STAGE=production; OTEL_*,8080,Trading API client portal main backend,onetrust-client-portal-api,server
aeternix-be-admin,Deployment,crm-prd,kubeflow/prd/be/deployment-admin.yaml,aeternix-be-admin-image:prd-placeholder,HPA,aeternix-be-config;aeternix-be-secrets,DATABASE_HOST/USERNAME/PASSWORD/DATABASE; STAGE=production,8081,Admin server API for internal operations,onetrust-client-portal-api,server-admin
aeternix-be-partner,Deployment,crm-prd,kubeflow/prd/be/deployment-partner.yaml,aeternix-be-partner-image:prd-placeholder,HPA,aeternix-be-config;aeternix-be-secrets,DATABASE_HOST/USERNAME/PASSWORD/DATABASE; STAGE=production,8082,Partner-IB portal backend API,onetrust-client-portal-api,server-partner
aeternix-mt5-proxy,Deployment,crm-prd,kubeflow/prd/be/mt5-proxy-deployment.yaml,aeternix-mt5-proxy-image:prd-placeholder,HPA,aeternix-be-config,KAFKA_BROKERS; ENVIRONMENT=production; APP_PORT=8083; LOG_LEVEL=error,8083,MT5 trading platform proxy gateway (forwards to MT5 Manager),onetrust-mt5-proxy-api,server
aeternix-fe,Deployment,crm-prd,kubeflow/prd/fe/deployment.yaml,aeternix-fe-image,HPA,aeternix-fe-config,(loaded via configMapRef only),3000,Client portal frontend (Next.js),n/a,n/a
aeternix-fe-backoffice,Deployment,crm-prd,kubeflow/prd/fe/deployment-backoffice.yaml,aeternix-fe-backoffice-image,HPA,aeternix-fe-backoffice-config,(loaded via configMapRef only),3000,Backoffice admin portal frontend (Next.js),n/a,n/a
crm-be,Deployment,crm-prd,kubeflow/prd/eks/deployment.yaml,crm-backend-image:latest,HPA,crm-config;crm-secrets,DB_HOST; REDIS_HOST; KAFKA_BROKERS; DB_PASSWORD,8080,"Core CRM backend (arm64, generic deployment.yaml at eks root)",n/a,n/a
aeternix-archiver,Deployment,kafka-streams,kubeflow/prd/eks/archiver/archiver.yaml,18.143.180.226:30002/aeternix-crm/aeternix-archiver:prd-2,2,archiver-config;archiver-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); DATABASE_*; STAGE=production; CLICKHOUSE_ENABLE=false,n/a,MT5 deals-in Kafka archiver consumer (Go),onetrust-archiver,mt5-deals-in-archived
aeternix-finance-service,Deployment,crm-prd,kubeflow/prd/eks/finance-service/finance-service.yaml,18.143.180.226:30002/aeternix-crm/aeternix-finance-service:prd-2,2,finance-service-config;finance-service-secret,KAFKA_BROKERS; DATABASE_FINANCIAL_*; DATABASE_*,n/a,Rebate accrual finance consumer service (Go),onetrust-financial-service,financial-rebate-accrual-builder
kafka-stream-processor,StatefulSet,kafka-streams,kubeflow/prd/eks/kafka-streams/deployment.yaml,python:3.11-slim,3,(via app config + kafka-stream-brokers secret),KAFKA_BROKERS (from secret); group=crm-stream-processor-grp,6066,Stage 1 transaction stream processor (Python Faust-style; ingest → routing-out),n/a,n/a
