id,status,priority,category,pipeline,related_step,title,description,acceptance_criteria,notes
BL-008,WAIT_FOR_DISCUSS,P1,architecture,both,—,Define DLQ topic strategy,edge cases เกือบทุก consumer ต้อง DLQ poison message แต่ไม่มี DLQ topics กำหนดในระบบวันนี้ — ทุกตัวจะ infinite retry หรือ commit แล้ว lose,naming convention (เช่น {topic}.dlq) + per-consumer retry policy (max attempts before DLQ) + manual replay tooling,กระทบทุก consumer ใน 2 pipelines
BL-009,WAIT_FOR_DISCUSS,P1,architecture,both,—,Audit ClickHouse ReplacingMergeTree config,archivers (steps 17-23 deal + step 05 balance) พึ่ง CH dedupe ผ่าน ReplacingMergeTree — ต้องตรวจสอบทุก archive table มี config ถูกต้องและ version column เหมาะสม,audit CH migrations + verify ทุก table ใช้ ReplacingMergeTree + version column = updated_at หรือ snapshot timestamp,8 archive tables — 4 ใน clickhouse_client + 4 ใน clickhouse_ib
BL-013,WAIT_FOR_DISCUSS,P1,testing,both,—,Idempotency test suite for all consumers,duplicate message injection ของทุก consumer (ดู edge-cases/ ของแต่ละ pipeline — กรองจาก category=idempotency) — verify no double-effect,integration test framework + tests ครอบคลุม 23 components ใน deal + 5 ใน balance,critical สำหรับ at-least-once semantics
BL-015,WAIT_FOR_DISCUSS,P2,testing,both,—,Load test 100k msg/sec ingest scenario,production volume target — verify pipeline ไม่ติดขัดที่ peak load,archive lag < 5 นาทีภายใต้ 100k msg/sec sustained + Kafka consumer lag stable,depends on infra capacity planning
BL-016,WAIT_FOR_DISCUSS,P2,testing,both,—,Backfill behavior test for cleanup-watchers,production จะมี data ค้างก่อน watcher start — verify catch-up ไม่ OOM + ไม่ทำ paid.clean topic ล้น,test ใน DB ที่มี 1M archived rows → watcher publish ค่อยๆ ครบใน N รอบ + memory stable,affects BL-002 + BL-004
BL-017,WAIT_FOR_DISCUSS,P1,operational,both,—,Alert metrics + dashboards,visibility ขาดสำหรับ DLQ counter / consumer lag / settlement HOLD count / wallet frozen count,Prometheus metrics export + Grafana dashboard + alert rules ใน Alertmanager,depends on BL-008 (DLQ) + BL-014 (HOLD logic)
BL-018,WAIT_FOR_DISCUSS,P2,operational,both,—,Runbook for stuck-state scenarios,oncall ไม่มีคู่มือ recovery สำหรับ settlement PENDING / wallet HOLD / consumer DLQ flood,runbook docs cover แต่ละ stuck state + recovery steps + rollback procedures,—
BL-019,WAIT_FOR_DISCUSS,P2,testing,both,—,End-to-end pipeline test scenarios,verify ทั้ง flow ทำงานร่วมกัน (deal in → out → rebate → wallet → archive → cleanup),e2e test ใน test environment รันก่อน release ทุกครั้ง + cover happy path + critical edge cases,—
BL-020,WAIT_FOR_DISCUSS,P3,operational,both,—,Tune lookback window for cleanup-watchers,5 นาทีคือ initial guess — อาจสั้นไป (race) หรือยาวไป (DB บวม),measure actual archiver flush latency + adjust window ตามจริง,low priority — รอ production data
BL-021,WAIT_FOR_DISCUSS,P2,testing,both,—,Schema contract testing for Kafka topics,schema drift ทำให้เกิด poison messages — ต้องมี contract tests ระหว่าง producer + consumer ใน CI,contract test framework (เช่น Pact / Buf schema registry) ใน CI + per-topic schemas,affects ทุก Kafka topic
BL-022,WAIT_FOR_DISCUSS,P1,migration,both,—,Audit unique constraints + indexes in migrations,edge cases หลายตัวพึ่ง unique constraints (deal_id / position_id / distribution_id / settlement_id) — ต้อง verify ใน migration ปัจจุบัน,audit migration files ของ 5 databases + verify constraints exist + add missing,critical สำหรับ idempotency ทุก ingestor
