pipeline_step,component,category,scenario,expected_behavior,verification
02,mt5-deals-in-ingestor,idempotency,Kafka redelivery → deal_id ตัวเดิมเข้าซ้ำ,unique constraint บน deal_id หรือ INSERT ... ON CONFLICT DO NOTHING,inject duplicate 2 ครั้ง → DB row count = 1
02,mt5-deals-in-ingestor,referential,Login จาก MT5 ไม่มี mapping เป็น mt5_account_id ใน crm_central,DLQ + alert — รอ account sync ก่อน retry,ส่ง deal ของ Login ที่ยังไม่ sync → DLQ
02,mt5-deals-in-ingestor,missing-data,Deal / Login / Symbol / Time / PositionID หาย,reject + DLQ,ส่ง message ขาด PositionID → DLQ
02,mt5-deals-in-ingestor,schema,raw MT5 payload ใช้ CamelCase string field เช่น VolumeExt เป็น string ของตัวเลข,parse type-safe เป็น int64/decimal — convert volume_ext (raw) → lots ตามสูตร,ส่ง VolumeExt = 1000000 ใน format string → DB volume_ext = 1000000 (int64) + lots = 0.01
02,mt5-deals-in-ingestor,ordering,deal in arrive AFTER deal out (race หายาก),INSERT ตามปกติ — position-detector รับมือ matching เอง,ส่ง deal_out ของ position 100 ก่อน → ส่ง deal_in ของ position 100 → INSERT ทั้งคู่
05,mt5-deals-out-ingestor,idempotency,Kafka redelivery → deal_id ตัวเดิม (CRITICAL — trigger rebate),unique constraint บน deal_id ด้วย ON CONFLICT DO NOTHING — ห้าม INSERT ซ้ำ (จะเกิด rebate ซ้ำ),inject duplicate 2 ครั้ง → DB row count = 1 + financial.rebate.calculated event ไม่ publish ซ้ำ
05,mt5-deals-out-ingestor,referential,Login ไม่มี mapping ใน CRM,DLQ + alert,ส่ง deal Login ใหม่ที่ยังไม่ sync → DLQ
05,mt5-deals-out-ingestor,missing-data,Deal / Login / Symbol / PositionID / Profit หาย,reject + DLQ,ส่ง message ขาด Profit → DLQ
05,mt5-deals-out-ingestor,boundary,Profit เป็นทศนิยมเล็กมาก (0.0001) หรือลบ,รับได้ INSERT ตามจริง — เก็บเป็น decimal/numeric ห้ามใช้ float,ส่ง profit = 0.0001 และ -100 → DB เก็บค่าตรงไม่มี rounding
05,mt5-deals-out-ingestor,ordering,deal out arrive ก่อน deal in,INSERT ตามปกติ — position-detector จัดการ matching,ส่ง deal_out ของ position ใหม่ก่อน → INSERT สำเร็จ
07,mt5-position-detector,idempotency,deal_out ตัวเดิมเข้า 2 ครั้ง,unique constraint บน position_id — second time จะ ON CONFLICT,re-consume deal_out 2 ครั้ง → mt5_position_completes row count = 1
07,mt5-position-detector,partial-close,VolumeClosed < total volume ของ position (close ทีละบางส่วน),ห้าม INSERT — รอ deal out ตัวสุดท้ายที่ทำให้ volume_open == volume_closed,เปิด lot 1.0 ปิด 0.5 ก่อน → ห้าม INSERT — ปิด 0.5 ที่เหลือ → INSERT 1 row
07,mt5-position-detector,race,deal_out arrive ก่อน deal_in (deal_in ยังไม่อยู่ใน DB),retry กับ backoff หรือ park message รอ deal_in ค่อยมา,ส่ง deal_out ก่อน deal_in → consumer retry จนกว่า deal_in มา → match สำเร็จ
07,mt5-position-detector,multi-position,hedge mode — 2 deal_in กับ 2 deal_out ที่ position ใกล้กัน,match ตาม MT5 mode (FIFO หรือ netting) — ตัดสินใจชัดเจนใน design,เปิด long+short คน symbol → ปิดทั้งคู่ → INSERT 2 rows ตาม mode
07,mt5-position-detector,data-anomaly,deal_out ที่ไม่มี deal_in คู่กัน (data corruption),log + alert + DLQ — ห้าม INSERT position ลอย,inject deal_out PositionID ที่ไม่มี deal_in → DLQ
09,financial-rebate-calculator,idempotency,deal_out ตัวเดิม trigger rebate ซ้ำ (CRITICAL — financial impact),unique constraint บน (deal_id + rebate_line_id) — ห้ามคำนวณ rebate ซ้ำ,re-consume deal_out 2 ครั้ง → rebate_distributions row count คงที่ + ไม่ publish event ซ้ำ
09,financial-rebate-calculator,atomic-failure,INSERT distributions สำเร็จ แต่ Kafka publish ตก,ใช้ transactional outbox pattern (insert outbox table → debezium publish event) แทน publish ตรง,kill consumer ระหว่าง INSERT กับ publish → ของกลับมาแล้ว outbox push event จนสำเร็จ
09,financial-rebate-calculator,referential,deal owner ไม่มี IB upline เลย,log info + ack — ไม่สร้าง distribution + ไม่ publish (ไม่ใช่ error),ส่ง deal ของ user ที่ไม่มี referrer → ack + 0 distributions
09,financial-rebate-calculator,referential,rebate_scheme ของ symbol ไม่มี / disabled,log warning + ack — skip,ส่ง deal symbol ที่ไม่มีใน scheme → ack + 0 distributions + alert
09,financial-rebate-calculator,data-quality,IB chain มี loop A→B→A จาก data corruption,detect cycle + alert + ห้ามคำนวณ (ไม่งั้น infinite),inject IB tree A→B→A → consumer ตรวจเจอ + DLQ + alert
09,financial-rebate-calculator,boundary,deal volume = 0 หรือ profit = 0,ยังคำนวณตาม FIX_LOT/PERCENT scheme — ผลอาจเป็น 0 (skip insert ถ้า amount = 0),ส่ง deal volume = 0 → 0 distributions
09,financial-rebate-calculator,concurrency,IB tree เปลี่ยน (user เปลี่ยน upline) ระหว่าง deal เปิดกับปิด,lookup IB chain ตามเวลาของ deal (deal.time) ห้ามใช้เวลาคำนวณ,ปิด deal เก่าหลัง user เปลี่ยน upline → ใช้ upline เก่า ณ เวลาเปิด deal
10,financial-rebate-accrual-builder,idempotency,distribution event เข้า 2 ครั้ง,unique constraint บน distribution_id — second time = no-op,inject duplicate → rebate_accruals row count คงที่
10,financial-rebate-accrual-builder,referential,beneficiary_user_id ไม่มี wallet_id (user ใหม่ไม่มี wallet),DLQ + alert — รอ wallet provisioned,ส่ง distribution ของ user ที่ไม่มี wallet → DLQ
10,financial-rebate-accrual-builder,wallet-state,wallet disabled / frozen,INSERT accrual ตามปกติ (status = PENDING) — settlement scheduler ค่อยตัดสิน,ส่ง distribution ของ wallet ที่ frozen → INSERT accrual + alert
10,financial-rebate-accrual-builder,late-arrival,distribution event เก่าหลายวัน (consumer lag),accrue ตามปกติ — ไม่มี time cutoff,ส่ง distribution ที่ created_at = 7 วันก่อน → INSERT accrual สำเร็จ
12,rebate-settlement-scheduler,concurrency,scheduler 2 instance รันพร้อมกัน (HA deployment),ใช้ pg_advisory_lock หรือ leader election — instance เดียวเท่านั้นทำ batch รอบนึง,start 2 instances → log แสดงเฉพาะ instance ที่ได้ lock ทำ batch
12,rebate-settlement-scheduler,atomic-batch,crash ระหว่าง INSERT settlement กับ UPDATE accruals SETTLED,ทำใน transaction เดียว — rollback ถ้า fail,kill scheduler กลาง batch → restart → accruals ที่ค้าง PENDING ถูก batch ครั้งถัดไปได้ปกติ
12,rebate-settlement-scheduler,boundary,total settlement = 0 (เกิดจาก rounding amounts เล็กๆ),skip — ห้าม INSERT settlement 0 บาท,inject accruals ที่รวมแล้ว = 0 → ไม่ INSERT settlement
